source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-04-01 02:00:00,ADAUSD,0.65,0.652,0.605,0.622,12435049.80000003,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-02 02:00:00,ADAUSD,0.621,0.622,0.573,0.581,11679329.20000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-03 02:00:00,ADAUSD,0.582,0.595,0.564,0.57,6666900.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-04 02:00:00,ADAUSD,0.569,0.597,0.559,0.583,7132577.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-05 02:00:00,ADAUSD,0.583,0.585,0.56,0.575,7358650.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-06 02:00:00,ADAUSD,0.575,0.589,0.572,0.583,3727491.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-07 02:00:00,ADAUSD,0.584,0.597,0.582,0.589,4024504.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-08 02:00:00,ADAUSD,0.589,0.617,0.579,0.614,8985538.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-09 02:00:00,ADAUSD,0.614,0.624,0.59,0.59,12334386.80000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-10 02:00:00,ADAUSD,0.591,0.595,0.559,0.586,9017819.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-11 02:00:00,ADAUSD,0.586,0.595,0.576,0.586,5088516.30000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-12 02:00:00,ADAUSD,0.586,0.593,0.453,0.503,42379418.99999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-13 02:00:00,ADAUSD,0.502,0.517,0.401,0.446,36721819.39999994,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-14 02:00:00,ADAUSD,0.445,0.475,0.433,0.468,21110695.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-15 02:00:00,ADAUSD,0.467,0.496,0.439,0.461,15462539.89999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-16 02:00:00,ADAUSD,0.46,0.479,0.439,0.458,10159410.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-17 02:00:00,ADAUSD,0.459,0.465,0.429,0.444,8526989.00000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-18 02:00:00,ADAUSD,0.444,0.462,0.435,0.458,6611509.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-19 02:00:00,ADAUSD,0.458,0.476,0.424,0.469,8198704.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-20 02:00:00,ADAUSD,0.469,0.509,0.465,0.508,13412435.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-21 02:00:00,ADAUSD,0.507,0.513,0.488,0.5,11776040.90000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-22 02:00:00,ADAUSD,0.5,0.523,0.495,0.517,8256452.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-23 02:00:00,ADAUSD,0.517,0.522,0.497,0.5,9260281.60000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-24 02:00:00,ADAUSD,0.5,0.511,0.469,0.475,16491180.39999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-25 02:00:00,ADAUSD,0.475,0.48,0.461,0.471,6805828.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-26 02:00:00,ADAUSD,0.47,0.479,0.461,0.462,5473412.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-27 02:00:00,ADAUSD,0.463,0.47,0.445,0.468,3938065.5,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-28 02:00:00,ADAUSD,0.468,0.478,0.458,0.46,3311979.2,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-29 02:00:00,ADAUSD,0.46,0.464,0.447,0.457,3181956.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-04-30 02:00:00,ADAUSD,0.457,0.463,0.426,0.441,7055775.39999999,1d,2026-01-21T19:17:26.607396
